,SMILES,pKa
68,C#CCOc1noc2c1CNCC2,7.6
69,C#N,9.18
70,C#[N+]O,5.0
71,C(=C/c1ccncc1)\c1ccccc1,5.97
72,C(=C\c1ccncc1)\c1ccccc1,5.77
73,C(=N/c1ccccc1)\Nc1ccccc1,6.3
74,C(=N/c1ccccc1)\c1ccccc1,4.55
75,C/C(=C/Cl)C(=O)O,3.05
76,C/C(=C\C(C)=N\c1ccccc1)Nc1ccccc1,7.22
77,C/C(=C\Cl)C(=O)O,4.03
78,C/C(=C\c1ccccc1)CC(=O)O,5.35
79,C/C(=N\c1ccccc1)Nc1ccccc1,8.3
80,C/C(N)=N/N(C)C,10.0
81,C/C(O)=N\[N+](C)(C)C,5.42
82,C/C=C(/C)C(=O)O,4.3
83,C/C=C(\C(=O)O)c1ccc([N+](=O)[O-])cc1,5.0
84,C/C=C(\Cl)C(=O)O,3.22
85,C/C=C/C#CC(=O)O,2.67
86,C/C=C/C(=O)O,4.79
87,C/C=C/C1=C(O)C(=O)c2ccccc2C1=O,4.78
88,C/C=C/C=C/C(=O)O,4.53
89,C/C=C/CC(=O)O,4.28
90,C/C=C/CCC(=O)O,4.72
91,C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br,11.0
92,C/C=C\C=C/C(=O)O,4.51
93,C/N=C(/SC)c1ccccc1,6.42
94,C/N=C(\C)SC,7.71
95,C/N=C1/CCCCC1C,9.47
96,C/N=c1/oc2c(n1C)CCCC2,10.23
97,C/N=c1/sc2c(n1C)CCCC2,10.0
98,C/N=c1/scc(C)n1C,9.97
99,C1=C(c2ccccc2)C2CCN1CC2,9.1
100,C1=C(c2ccco2)C2CCN1CC2,8.92
101,C1=CN2CCC1CC2,9.82
102,C1=CNC(c2ccccc2)N1,6.48
103,C1=CNCN1,6.99
104,C1CC2CCC1CN2,11.0
105,C1CC2CCCN2C1,11.74
106,C1CCC(C2=NCCC2)CC1,6.05
107,C1CCC(C2CCCN2)CC1,10.8
108,C1CCC(N2CCCC2)CC1,10.7
109,C1CCC(NC2CCCCO2)OC1,8.1
110,C1CCC2(CC1)N1CCCN12,5.19
111,C1CCC2CNCCC2C1,10.95
112,C1CCC2NCCCC2C1,10.9
113,C1CCCNCC1,10.94
114,C1CCCNCCC1,10.78
115,C1CCNC1,11.285
116,C1CCNCC1,11.18
117,C1CCc2c(nnc3c2CCCC3)C1,6.12
118,C1CCc2nnc3c(c2CC1)CCCC3,6.03
119,C1CN(CC2CO2)CCO1,5.88
120,C1CN1,6.05
121,C1CN2CCC1CC2,11.04
122,C1CN2CC[C@H]3CO[C@@H]1[C@H]32,9.44
123,C1CN=C2NCCC2C1,11.7
124,C1CNC1,10.995
125,C1COC(NC(C2CC2)C2CC2)=N1,9.26
126,C1COCCN1,8.4825
127,C1CSCCN1,9.05
128,C1CSCN1,6.31
129,C1OC1CN(CC1CO1)CC1CO1,5.01
130,C=C(/C=C(/C)O)C(C)(C)C,10.97
131,C=C(Br)COc1noc2c1CNCC2,7.6
132,C=C(C(=O)O[C@@H]1C[C@H]2[C@H]3O[C@H]3[C@@H](C1)N2C)c1ccccc1,7.72
133,C=C(C)/C(C)=C(\C)O,12.01
134,C=C(C)/C=C(/C(=O)O)c1ccc([N+](=O)[O-])cc1,4.4
135,C=C(C)/C=C(\C)O,10.42
136,C=C(C)/C=C(\O)C=C(C)C,10.85
137,C=C(C)C(=O)O,4.66
138,C=C(C)C(=O)OC(C)CN(C)C,7.96
139,C=C(C)C(=O)OC(C)CN(CC)CC,8.65
140,C=C(C)C(=O)OCCCN,9.62
141,C=C(C)C(=O)OCCN,8.7
142,C=C(C)C(=O)OCCN(C(C)C)C(C)C,8.77
143,C=C(C)C(=O)OCCN(C)C,8.06
144,C=C(C)C(=O)OCCN(C)CCCC,8.27
145,C=C(C)C(=O)OCCN(CC)CC,8.66
146,C=C(C)C(=O)OCCNC,8.96
147,C=C(C)C(=O)OCCNC(C)C,9.13
148,C=C(C)C(=O)OCCNCC,9.15
149,C=C(C)C(=O)OCCNCC(C)C,8.91
150,C=C(C)C(=O)OCCNCCCC,9.12
151,C=C(C)C(C)(C(N)=O)C(=O)O,3.42
152,C=C(C)C1=C(O)CC(C)CC1,11.95
153,C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,10.9
154,C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br,10.71
155,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.5
156,C=C(CCCC)C(=O)O,4.8
157,C=C(F)C(=O)O,2.55
158,C=C(OC)C(=O)O,3.38
159,C=C(SC1CCCCC1)C(=O)O,3.4
160,C=C=C(C)C(C)(C)C(=O)O,4.55
161,C=C=CC(=O)O,3.96
162,C=CC#CCC(=O)O,3.41
163,C=CC(=O)O,4.25
164,C=CC(=O)OCCN(C)C,8.25
165,C=CC(=O)OCCN(CC)CC,8.55
166,C=CC(C)(C)N(C)C(C)(C)C,11.3
167,C=CC(C)(C)NC(C)(C)C=C,10.1
168,C=CC(C)(C)NC(C)(C)CC,10.8
169,C=CC(C)(C)Nc1ccccc1,4.88
170,C=CC(C)(CC)N(C)C(C)C,11.3
171,C=CC(C)Nc1ccccc1,4.57
172,C=CC(Cl)C(=O)O,2.54
173,C=CC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.5
174,C=CCC(=O)O,4.33
175,C=CCC(C)(CN(CC)CC)OC(=O)CC(C)C,8.1
176,C=CCC(C)(CN(CC)CC)OC(=O)CCC,8.5
177,C=CCC(C)(CN(CC)CC)OC(=O)c1ccccc1,7.8
178,C=CCC(C)(CN(CC)CC)OC(C)=O,9.85
179,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74
180,C=CCC1(CC=C)SC(=O)NC1=O,6.1
181,C=CCCC(=O)O,4.68
182,C=CCCN(C1=NCCN1)c1c(Br)cccc1Br,11.2
183,C=CCN,9.74
184,C=CCN(C)C,8.72
185,C=CCN(C)CCOC(=O)C(=C)C,7.39
186,C=CCN(C1=NCCN1)c1c(Br)cccc1Br,10.7
187,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,10.42
188,C=CCN(CC1CO1)CC1CO1,6.16
189,C=CCN(CC=C)CC=C,8.31
190,C=CCN(CC=C)CCOC(=O)C(=C)C,7.02
191,C=CCN1CCCCC1,9.66
192,C=CCN1CCOCC1,7.05
193,C=CCNCC=C,9.35
194,C=CCNc1ccccc1,4.17
195,C=CCOc1ccc(C(=O)O)cc1,4.45
196,C=CCc1ccc(O)c(OC)c1,10.0
197,C=C[C@@H]1CNC(=S)O1,10.25
198,C=Cc1ccc(C)nc1,5.67
199,C=Cc1ccc(O)cc1,9.91
200,C=Cc1ccccn1,4.95
201,C=Cc1cccnc1,4.87
202,C=Cc1ccncc1,5.62
203,CC#C/C=C/C(=O)O,4.2
204,CC#CC#CC(=O)O,1.94
205,CC#CC#CCC(=O)O,3.23
206,CC#CC(=O)O,2.63
207,CC#CCC(=O)O,3.6
208,CC#CCOc1noc2c1CNCC2,7.6
209,CC(/N=N/O)c1ccccc1,8.32
210,CC(=N)Nc1nsc2ccccc12,6.99
211,CC(=O)/C(Cl)=N/O,7.9
212,CC(=O)/C=C(/C)O,7.64
213,CC(=O)/N=c1/c(-c2c(Cl)cccc2Cl)cc2cnc(C)nc2n1C,2.5
214,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.3
215,CC(=O)/N=c1\ccccn1C,7.12
216,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,7.3
217,CC(=O)C(=NO)C(C)=O,7.44
218,CC(=O)C(=O)CC(=O)C(C)=O,4.68
219,CC(=O)C(=O)O,2.39
220,CC(=O)C(C(C)=O)C(C)C,12.85
221,CC(=O)C(C(C)=O)c1ccccc1,9.32
222,CC(=O)C(C)C(=O)C(C)C,11.8
223,CC(=O)C(C)C(=O)c1ccccc1,11.13
224,CC(=O)C(C)C(C)(C)C(=O)O,5.79
225,CC(=O)C(C)C(C)=O,10.79
226,CC(=O)C(C)[N+](=O)[O-],5.15
227,CC(=O)C(C=O)C(C)=O,4.6
228,CC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,6.83
229,CC(=O)C(Cc1ccc(C#N)cc1)C(C)=O,9.69
230,CC(=O)C(Cc1ccc(Cl)cc1)C(C)=O,10.25
231,CC(=O)C(Cc1ccc([N+](=O)[O-])cc1)C(C)=O,9.54
232,CC(=O)C(Cc1ccccc1)C(C)=O,10.49
233,CC(=O)C1=CC=CC1,8.84
234,CC(=O)C1C(=O)OC(=O)C=C1C,1.34
235,CC(=O)C1C(=O)c2ccccc2C1=O,2.88
236,CC(=O)C1CCCC1=O,7.82
237,CC(=O)C1CCCCC1=O,10.21
238,CC(=O)CC(=O)C(C)(C)C,9.94
239,CC(=O)CC(=O)C(C)C,9.46
240,CC(=O)CC(=O)C(F)(F)F,6.09
241,CC(=O)CC(=O)CC(C)C,9.07
242,CC(=O)CC(=O)Nc1ccc(C)cc1,10.15
243,CC(=O)CC(=O)Nc1cccc(C)c1,10.0
244,CC(=O)CC(=O)Nc1ccccc1,9.94
245,CC(=O)CC(=O)c1ccc[se]1,8.55
246,CC(=O)CC(=O)c1ccccc1,8.69
247,CC(=O)CC(C)=O,8.85
248,CC(=O)CC(N)=O,10.41
249,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.9875
250,CC(=O)CC(c1ccccc1)c1c(S)c2ccccc2oc1=O,6.6
251,CC(=O)CC=O,6.12
252,CC(=O)CCC(=O)O,4.63
253,CC(=O)CCCC(=O)O,4.66
254,CC(=O)CCCCN(C)C,9.66
255,CC(=O)CCN(C)C,8.95
256,CC(=O)CCN1CCOCC1,6.66
257,CC(=O)CN=O,8.4
258,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,6.655
259,CC(=O)C[N+](=O)[O-],5.1
260,CC(=O)N(C)CC(=O)O,3.16
261,CC(=O)N(C)O,8.73
262,CC(=O)N(C)c1ccccn1,2.01
263,CC(=O)N(C)c1cccnc1,3.52
264,CC(=O)N(C)c1ccncc1,4.62
265,CC(=O)N(C)c1nc2nc(C)ncc2cc1-c1c(Cl)cccc1Cl,4.2
266,CC(=O)N(C)c1nnc(S(N)(=O)=O)s1,7.4
267,CC(=O)N(O)CCc1ccccc1,8.83
268,CC(=O)N(O)c1ccccc1,8.36
269,CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1,7.32
270,CC(=O)N1CCN(C)CC1,7.1
271,CC(=O)N1CCNCC1,7.94
272,CC(=O)N1CS(=O)(=O)C[C@H]1C(=O)O,2.23
273,CC(=O)N1CS(=O)C[C@H]1C(=O)O,2.5
274,CC(=O)N1CSC[C@H]1C(=O)O,2.94
275,CC(=O)N=C(N(C)C)N(C)C,7.5
276,CC(=O)N=S(C)C,3.16
277,CC(=O)NBr,8.1
278,CC(=O)NC(=O)CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,12.9
279,CC(=O)NO,9.07
280,CC(=O)NOC(C)=O,6.81
281,CC(=O)NOCCc1ccccc1,9.58
282,CC(=O)NS(=O)(=O)c1ccc(C)cc1,4.8
283,CC(=O)Nc1ccc(N)cc1,4.46
284,CC(=O)Nc1ccc(O)cc1,7.1575
285,CC(=O)Nc1ccc(S)cc1,6.08
286,CC(=O)Nc1ccccc1,5.75
287,CC(=O)OC(C)CN(C)C,8.31
288,CC(=O)OC1CN2CCC1CC2,9.27
289,CC(=O)OCC1CC2CCN1CC2,9.88
290,CC(=O)OCC1CN2CCC1CC2,10.29
291,CC(=O)OCCCCCc1ccc(S(N)(=O)=O)cc1,10.3
292,CC(=O)OCCCCc1ccc(S(N)(=O)=O)cc1,10.48
293,CC(=O)OCCCc1ccc(S(N)(=O)=O)cc1,10.22
294,CC(=O)OCCN(C)C,8.3
295,CC(=O)OO,8.19
296,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,8.72
297,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,7.95
298,CC(=O)Oc1cccc2cccc(O)c12,9.69
299,CC(=O)Oc1cccc2cccnc12,3.3
300,CC(=O)Oc1ccccc1C(=O)O,3.5
301,CC(=O)S,3.71
302,CC(=O)SCCN(C)C,8.27
303,CC(=O)Sc1ccc(O)cc1,8.88
304,CC(=O)[C@@H]1C[C@@H]1C(=O)O,4.19
305,CC(=O)[C@@H]1C[C@H](C(=O)O)C1(C)C,4.63
306,CC(=O)[C@H]1CC=CC[C@@H]1C(=O)O,4.4
307,CC(=O)[C@H]1C[C@@H](CC(=O)O)C1(C)C,4.82
308,CC(=O)[n+]1ccc(C#N)cc1,1.98
309,CC(=O)[n+]1ccc(C)cc1,6.15
310,CC(=O)[n+]1cccc(C#N)c1,1.62
311,CC(=O)[n+]1cccc(C)c1,5.81
312,CC(=O)[n+]1cccc(Cl)c1,2.98
313,CC(=O)[n+]1ccccc1,5.32
314,CC(=O)c1cc(C)c(C)cc1O,11.56
315,CC(=O)c1ccc(C(=O)O)cc1,3.72
316,CC(=O)c1ccc(N)cc1,2.385
317,CC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,6.94
318,CC(=O)c1ccc(O)c(=O)cc1,5.01
319,CC(=O)c1ccc(O)c([N+](=O)[O-])c1,5.09
320,CC(=O)c1ccc(O)cc1,7.9
321,CC(=O)c1ccc(S)cc1,5.33
322,CC(=O)c1cccc(=O)c(O)c1,6.16
323,CC(=O)c1cccc(C(=O)O)c1,3.84
324,CC(=O)c1cccc(N)c1,3.61
325,CC(=O)c1cccc(NC(N)=S)c1,12.1
326,CC(=O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,3.75
327,CC(=O)c1cccc(O)c1,9.12
328,CC(=O)c1ccccc1C(=O)O,4.15
329,CC(=O)c1ccccc1N,2.31
330,CC(=O)c1ccccc1O,10.37
331,CC(=O)n1cccn1,3.16
332,CC(=O)n1ccnc1,3.6
333,CC(=O)n1ccnc1C,5.03
334,CC(=O)n1cnc2ccccc21,1.8
335,CC(=S)NCc1ccccc1,13.0
336,CC(=S)Nc1ccc(Cl)cc1,11.06
337,CC(=S)Nc1ccc([N+](=O)[O-])cc1,9.89
338,CC(=S)Nc1ccccc1,11.56
339,CC(Br)(CN)[N+](=O)[O-],6.15
340,CC(Br)C(=O)O,2.97
341,CC(Br)[N+](=O)[O-],7.17
342,CC(C#N)(CC(=O)O)c1ccccc1,3.99
343,CC(C#N)(Cc1ccccc1)C(=O)O,2.29
344,CC(C#N)C(C)(C)C(=O)O,3.97
345,CC(C#N)CC(=O)O,3.95
346,CC(C#N)CN,7.75
347,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.386667
348,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,4.0
349,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,4.353333
350,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,4.5
351,CC(C(=O)c1ccccc1)[n+]1ccccc1,11.465
352,CC(C)(C#N)CC(=O)O,4.04
353,CC(C)(C(=O)O)C(C(N)=O)c1ccccc1,4.8
354,CC(C)(C(=O)O)c1nnnn1C1CCCCC1,3.7
355,CC(C)(C)C#CC(=O)O,2.66
356,CC(C)(C)C(=O)C(=O)O,2.3
357,CC(C)(C)C(=O)CC(=O)C(C)(C)C,11.77
358,CC(C)(C)C(=O)NO,9.59
359,CC(C)(C)C(=O)O,5.04
360,CC(C)(C)C(=O)c1ccc2n1CCC2C(=O)O,3.57
361,CC(C)(C)C(=O)n1cnc2ccccc21,2.0
362,CC(C)(C)C([N+](=O)[O-])[N+](=O)[O-],8.24
363,CC(C)(C)CC#CC(=O)O,2.54
364,CC(C)(C)CC(=O)O,5.01
365,CC(C)(C)CC(=O)n1ccnc1,3.8
366,CC(C)(C)CC(=O)n1cnc(Br)c1,4.0
367,CC(C)(C)CC(C)(C)N,10.84
368,CC(C)(C)CCC(=O)O,4.83
369,CC(C)(C)CCCC(=O)O,4.88
370,CC(C)(C)CCCCc1ccc(O)cc1,11.22
371,CC(C)(C)CN,10.17
372,CC(C)(C)CNc1ccccc1,4.17
373,CC(C)(C)Cc1ccc(O)cc1,10.71
374,CC(C)(C)Cc1ccccc1O,10.69
375,CC(C)(C)N,10.765
376,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,0.0
377,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1,0.0
378,CC(C)(C)N(O)C(=O)c1ccccc1,10.1
379,CC(C)(C)N1C2CCCC21,9.22
380,CC(C)(C)N1CC(O[Si](C)(C)C)C1,9.24
381,CC(C)(C)NC1CCCCC1,11.34
382,CC(C)(C)Nc1ccccc1,7.15
383,CC(C)(C)OC(=O)NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,3.76
384,CC(C)(C)OO,12.8
385,CC(C)(C)OOCC(=O)O,3.49
386,CC(C)(C)OOCCC(=O)O,4.36
387,CC(C)(C)P(=O)(O)C(C)(C)C,4.24
388,CC(C)(C)S,11.14
389,CC(C)(C)SC(=N)c1ccccc1,9.24
390,CC(C)(C)c1cc(N)cc(C(C)(C)C)c1,4.97
391,CC(C)(C)c1cc(N)cc(C(C)(C)C)c1[N+](=O)[O-],2.93
392,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,6.92
393,CC(C)(C)c1ccc(-c2c(O)c2=O)cc1,2.21
394,CC(C)(C)c1ccc(C(=O)/C=C/C(=O)O)cc1,3.42
395,CC(C)(C)c1ccc(C(=O)O)cc1,4.36
396,CC(C)(C)c1ccc(N)cc1,4.95
397,CC(C)(C)c1ccc(O)cc1,10.303333
398,CC(C)(C)c1ccc(S(=O)(=O)CS(=O)(=O)C(F)(F)F)cc1,5.1
399,CC(C)(C)c1ccc(SCC(=O)O)cc1,3.76
400,CC(C)(C)c1ccc2c(c1)C(=O)NC2=O,10.21
401,CC(C)(C)c1cccc(C(C)(C)C)n1,4.95
402,CC(C)(C)c1ccccc1C(=O)O,3.53
403,CC(C)(C)c1ccccc1N,3.78
404,CC(C)(C)c1ccccc1O,11.3
405,CC(C)(C)c1ccccn1,5.72
406,CC(C)(C)c1cccnc1,5.82
407,CC(C)(C)c1ccnc(C(C)(C)C)c1,6.7
408,CC(C)(C)c1ccncc1,5.95
409,CC(C)(C)n1ccnc1,7.35
410,CC(C)(CCC(CO[N+](=O)[O-])O[N+](=O)[O-])C(=O)Oc1ccccc1C(=O)O,3.69
411,CC(C)(CC[N+](=O)[O-])[N+](=O)[O-],7.84
412,CC(C)(CO[N+](=O)[O-])C(=O)Oc1ccccc1C(=O)O,3.69
413,CC(C)(Cl)C(=O)O,2.97
414,CC(C)(N)C#N,5.3
415,CC(C)(N)Cc1ccccc1,10.13
416,CC(C)(N)c1ccccc1,10.38
417,CC(C)(OO)c1ccccc1,12.64
418,CC(C)/C=C/C(=O)O,4.7
419,CC(C)=C(C#N)C(=O)O,3.04
420,CC(C)=C=CC(C)(C)C(=O)O,4.7
421,CC(C)=CC(=O)O,5.12
422,CC(C)=CCC(=O)O,4.6
423,CC(C)=CCN(C1=NCCN1)c1c(Br)cccc1Br,10.75
424,CC(C)C(=O)C(C)(C)CN(C)C,9.3
425,CC(C)C(=O)CC(=O)C(C)C,9.86
426,CC(C)C(=O)CC=O,6.68
427,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,12.87
428,CC(C)C(=O)O,4.76
429,CC(C)C(Br)C(=O)O,2.82
430,CC(C)C(C(C)C)N(C)C,10.06
431,CC(C)C(N)C(C)C,10.4
432,CC(C)C(N)C(N)=O,8.0
433,CC(C)C([N+](=O)[O-])[N+](=O)[O-],6.75
434,CC(C)C12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.83
435,CC(C)C1C(=O)c2ccccc2C1=O,7.4
436,CC(C)C1NC(=S)NC1=O,8.7
437,CC(C)CC(=O)CC(=O)C(F)(F)F,6.52
438,CC(C)CC(=O)O,4.79
439,CC(C)CC(N)C(N)=O,8.0
440,CC(C)CC([N+](=O)[O-])[N+](=O)[O-],5.4
441,CC(C)CC1(C)NC(=N)N(Cc2cccc(Cl)c2)C1=O,7.2
442,CC(C)CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,8.52
443,CC(C)CCC(=O)O,4.84
444,CC(C)CCC1=C(O)C(=O)c2ccccc2C1=O,5.13
445,CC(C)CCCC(C)N,10.28
446,CC(C)CCCCCc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,4.1
447,CC(C)CCN,10.93
448,CC(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,10.9
449,CC(C)CCNCCC(C)C,10.9
450,CC(C)CCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,7.4
451,CC(C)CCOc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@@H](C1CCOCC1)N2,3.8
452,CC(C)CCOc1ccccc1/C=C/C(=O)O,4.85
453,CC(C)CCOc1ccccc1/C=C\C(=O)O,4.38
454,CC(C)CCP(=O)(O)CCC(C)C,3.26
455,CC(C)CCSC(=N)c1ccccc1,8.43
456,CC(C)CCc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,4.1
457,CC(C)CN,10.36
458,CC(C)CN(C)C,9.91
459,CC(C)CN(C)c1ccccc1,5.2
460,CC(C)CN(C1=NCCN1)c1c(Br)cccc1Br,11.02
461,CC(C)CN(CC(C)C)C(=S)S,3.4
462,CC(C)CNC(C)C,10.55
463,CC(C)CNC=S,12.8
464,CC(C)CNCC(C)C,10.59
465,CC(C)CN[N+](=O)[O-],6.38
466,CC(C)CNc1ccccc1,4.84
467,CC(C)COc1ccc(C(=O)O)cc1,4.48
468,CC(C)CP(=O)(O)CC(C)C,3.25
469,CC(C)CS(=O)O,2.75
470,CC(C)CSC(=N)c1ccccc1,8.22
471,CC(C)CSCCN,8.73
472,CC(C)C[C@H](N)C(N)=O,7.84
473,CC(C)Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,4.3
474,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.205714
475,CC(C)Cc1ccc(O)cc1,10.2
476,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,5.2
477,CC(C)Cc1ccccc1O,10.5
478,CC(C)N,10.64
479,CC(C)N(C(=S)S)C(C)C,4.3
480,CC(C)N(C(C)C)C(C)C,11.86
481,CC(C)N(C)C,10.3
482,CC(C)N(C1=NCCN1)c1c(Br)cccc1Br,11.2
483,CC(C)N(CC1CO1)CC1CO1,7.07
484,CC(C)N(CCCl)CCCl,7.0
485,CC(C)N(CCc1ccccc1)CCc1ccccc1,10.02
486,CC(C)N(Cc1no[n+]([O-])c1C#N)C(C)C,5.35
487,CC(C)N(c1ccccc1)C(C)C,6.19
488,CC(C)N1C2CCCC21,8.31
489,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,8.7
490,CC(C)N1CCCC1,11.22
491,CC(C)N1CCCCC1,10.96
492,CC(C)N1C[Si](C)(C)O[Si](C)(C)C1,10.0
493,CC(C)NC(C)C,11.04
494,CC(C)NC1=NS(=O)(=O)c2cc(Cl)ccc2S1,9.76
495,CC(C)NCCC#N,8.0
496,CC(C)NC[Si](C)(C)C,10.8
497,CC(C)Nc1ccccc1,5.67
498,CC(C)OC1=NS(=O)(=O)c2cc(Cl)ccc2N1,8.0
499,CC(C)OO,12.1
500,CC(C)Oc1ccc(C(=O)O)cc1,4.57
501,CC(C)Oc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,3.43
502,CC(C)Oc1cccc(C(=O)O)c1,4.15
503,CC(C)Oc1cccc2c1N=C(NCC(F)F)NC2C,10.2
504,CC(C)Oc1ccccc1C(=O)O,4.24
505,CC(C)P(=O)(O)C(C)C,3.56
506,CC(C)S(=O)O,2.3
